"metric","kind","llm","variant","method","code","count","avg_ms","median_ms","p95_ms","avg_bytes","median_bytes","p95_bytes"
"http_status_count","docs","gpt","c",,"403","13",,,,,,
"http_status_count","docs","claude","c",,"429","1",,,,,,
"http_status_count","docs","gemini","v",,"404","85",,,,,,
"http_status_count","docs","deepseek","t",,"404","77",,,,,,
"http_status_count","docs","claude","c",,"308","40",,,,,,
"http_status_count","docs","mistral","c",,"429","1",,,,,,
"http_status_count","docs","gemini","c",,"404","60",,,,,,
"http_status_count","docs","deepseek","v",,"ERR","66",,,,,,
"http_status_count","docs","claude","t",,"401","4",,,,,,
"http_status_count","docs","mistral","c",,"403","10",,,,,,
"http_status_count","docs","claude","t",,"404","70",,,,,,
"http_status_count","docs","gpt","c",,"404","44",,,,,,
"http_status_count","docs","gemini","t",,"403","24",,,,,,
"http_status_count","docs","deepseek","c",,"403","33",,,,,,
"http_status_count","docs","gpt","t",,"403","14",,,,,,
"http_status_count","docs","deepseek","c",,"503","1",,,,,,
"http_status_count","docs","gemini","t",,"ERR","87",,,,,,
"http_status_count","docs","mistral","t",,"429","2",,,,,,
"http_status_count","docs","mistral","t",,"200","584",,,,,,
"http_status_count","docs","deepseek","c",,"ERR","53",,,,,,
"http_status_count","docs","gpt","v",,"403","33",,,,,,
"latency_perprobe","endpoint","mistral","v","HEAD","400","23","111","107","245",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","503","1","563","563","563",,,
"latency_perprobe","endpoint","gpt","t","HEAD","500","18","192","209","407",,,
"latency_perprobe","endpoint","deepseek","c","GET","405","57","137","161","194",,,
"latency_perprobe","endpoint","gemini","t","HEAD","429","6","48","34","119",,,
"latency_perprobe","endpoint","gpt","v","HEAD","200","78","294","203","1398",,,
"latency_perprobe","endpoint","deepseek","t","GET","ERR","128","1526","1","15012",,,
"latency_perprobe","endpoint","mistral","c","HEAD","503","2","572","467","677",,,
"latency_perprobe","endpoint","claude","v","GET","401","554","121","100","286",,,
"latency_perprobe","endpoint","gpt","v","GET","302","11","649","637","723",,,
"latency_perprobe","endpoint","deepseek","t","HEAD","401","211","242","159","707",,,
"latency_perprobe","endpoint","deepseek","c","GET","308","4","80","77","94",,,
"latency_perprobe","endpoint","gemini","v","GET","401","366","119","103","226",,,
"latency_perprobe","endpoint","claude","t","HEAD","401","390","175","166","508",,,
"latency_perprobe","endpoint","mistral","v","HEAD","401","181","148","94","470",,,
"latency_perprobe","endpoint","mistral","v","GET","503","10","102","65","225",,,
"latency_perprobe","endpoint","gpt","c","GET","405","33","150","89","175",,,
"latency_perprobe","endpoint","mistral","c","GET","400","41","200","184","510",,,
"latency_perprobe","endpoint","gemini","c","GET","401","371","129","103","277",,,
"latency_perprobe","endpoint","gpt","v","GET","401","561","136","114","288",,,
"latency_perprobe","endpoint","gemini","v","GET","415","6","63","54","103",,,
"latency_perprobe","endpoint","gpt","t","GET","403","52","279","251","549",,,
"latency_perprobe","endpoint","deepseek","c","HEAD","503","1","244","244","244",,,
"latency_perprobe","endpoint","claude","c","HEAD","596","2","620","612","627",,,
"latency_perprobe","endpoint","gpt","c","HEAD","403","52","407","415","797",,,
"latency_perprobe","endpoint","claude","t","GET","401","579","133","106","296",,,
"latency_perprobe","endpoint","mistral","t","GET","404","292","129","108","292",,,
"latency_perprobe","endpoint","gpt","t","GET","500","2","202","199","204",,,
"latency_perprobe","endpoint","deepseek","c","HEAD","406","8","1857","1154","7702",,,
"latency_perprobe","endpoint","gemini","c","GET","403","19","292","306","484",,,
"latency_perprobe","endpoint","deepseek","v","HEAD","406","32","280","270","407",,,
"latency_perprobe","endpoint","gpt","v","HEAD","401","400","181","132","561",,,
"latency_perprobe","endpoint","gpt","c","GET","ERR","63","1431","1","15009",,,
"latency_perprobe","endpoint","claude","v","HEAD","500","6","47","40","92",,,
"latency_perprobe","endpoint","deepseek","t","HEAD","406","16","271","269","296",,,
